panel,auc,ci_lo,ci_hi,delong_z_vs_full,delong_p_vs_full,ratio_raw,ratio_excess,ratio_anchored,ratio_excess_lo,ratio_excess_hi,sens_youden,spec_youden,ppv_at_20pct,npv_at_20pct
topk_l2_300,0.6512345679012346,0.4690586419753086,0.8271604938271605,-0.11461918670019716,0.9087469711518247,0.9952830188679245,0.9799999999999999,0.9887640449438202,0.3333333333333332,1.7978260869565212,0.5555555555555556,0.7777777777777778,0.3846153846153846,0.875
topk_rf_5,0.6388888888888888,0.44753086419753085,0.8118055555555552,-0.2638250718236709,0.7919147143032645,0.9764150943396226,0.8999999999999996,0.9438202247191009,-0.3433908045977018,2.992647058823514,0.7222222222222222,0.6111111111111112,0.3170731707317073,0.8979591836734694
topk_l2_5,0.6388888888888888,0.42592592592592593,0.808641975308642,-0.2438043466400056,0.8073823537682725,0.9764150943396226,0.8999999999999996,0.9438202247191009,-0.39934210526315755,3.2914438502673784,0.7222222222222222,0.6111111111111112,0.3170731707317073,0.8979591836734694
topk_rf_50,0.6358024691358025,0.44436728395061725,0.808641975308642,-0.37796447300922686,0.7054569861112736,0.9716981132075472,0.8800000000000002,0.9325842696629214,-0.28571428571428703,2.4000000000000017,0.9444444444444444,0.4444444444444444,0.2982456140350877,0.9696969696969696
topk_enet_5,0.6327160493827161,0.4228395061728395,0.8025462962962959,-0.35435190111262027,0.7230751762598899,0.9669811320754718,0.8600000000000001,0.9213483146067416,-0.5125000000000001,2.8807189542483655,0.7222222222222222,0.6111111111111112,0.3170731707317073,0.8979591836734694
topk_l2_50,0.6296296296296297,0.43819444444444444,0.8056327160493824,-0.5328459847120918,0.5941401988086711,0.9622641509433962,0.8400000000000001,0.9101123595505618,-0.5312499999999996,1.949999999999998,0.8888888888888888,0.5,0.30769230769230765,0.9473684210526315
topk_l2_100,0.6265432098765432,0.4382716049382716,0.8055555555555556,-0.6728021417129187,0.5010731750384483,0.9575471698113207,0.82,0.898876404494382,-0.6237980769230775,1.6666666666666679,0.7777777777777778,0.5555555555555556,0.30434782608695654,0.9090909090909091
topk_rf_3,0.6265432098765432,0.42901234567901236,0.7994598765432095,-0.479301293269411,0.6317243022550971,0.9575471698113207,0.82,0.898876404494382,-0.661458333333333,2.4999999999999982,0.7222222222222222,0.5555555555555556,0.2888888888888889,0.888888888888889
topk_enet_50,0.6234567901234568,0.4320216049382716,0.8024691358024691,-0.7071067811865478,0.47950012218695326,0.9528301886792453,0.7999999999999998,0.8876404494382022,-0.750000000000001,1.666666666666664,0.7777777777777778,0.5555555555555556,0.30434782608695654,0.9090909090909091
topk_enet_100,0.6172839506172839,0.42592592592592593,0.7962962962962963,-0.8287754140107487,0.407231502869446,0.9433962264150942,0.7599999999999997,0.8651685393258425,-0.7628676470588237,1.5703125000000024,0.7222222222222222,0.5555555555555556,0.2888888888888889,0.888888888888889
topk_rf_2,0.6172839506172839,0.42268518518518516,0.7962962962962963,-0.6030226891555281,0.5464935954065815,0.9433962264150942,0.7599999999999997,0.8651685393258425,-0.9139254385964897,2.248161764705883,0.8333333333333334,0.5,0.2941176470588236,0.9230769230769231
topk_l2_3,0.6080246913580247,0.39814814814814814,0.7870370370370371,-0.7527726527090808,0.4515865429217354,0.929245283018868,0.7000000000000002,0.8314606741573034,-1.2067307692307703,1.9999999999999996,0.7222222222222222,0.5555555555555556,0.2888888888888889,0.888888888888889
topk_enet_3,0.6064814814814815,0.3950617283950617,0.7855324074074073,-0.7930184623468173,0.4277670662816365,0.9268867924528302,0.6900000000000001,0.8258426966292135,-1.225360576923078,1.9611378205128205,0.7222222222222222,0.5555555555555556,0.2888888888888889,0.888888888888889
biohermes7,0.5972222222222222,0.3950617283950617,0.7778549382716046,-0.4412087626321928,0.6590618700775306,0.9127358490566038,0.6299999999999999,0.7921348314606741,-0.9007876969242311,5.232638888888865,0.6111111111111112,0.6111111111111112,0.28205128205128205,0.8627450980392157
topk_enet_300,0.5895061728395061,0.398070987654321,0.7685185185185185,-1.7436014410987033,0.08122861185375906,0.900943396226415,0.5799999999999996,0.7640449438202245,-1.9134615384615408,1.0352822580645151,0.8333333333333334,0.4444444444444444,0.27272727272727276,0.9142857142857143
topk_enet_1305,0.5802469135802469,0.38580246913580246,0.7623456790123457,-2.147130525032281,0.03178289176862738,0.8867924528301887,0.5200000000000001,0.7303370786516854,-2.396874999999998,0.937247983870968,0.6666666666666666,0.5555555555555556,0.2727272727272727,0.8695652173913043
topk_l2_2,0.5771604938271605,0.3734567901234568,0.7592592592592593,-1.2830689309712855,0.19946792749862197,0.8820754716981132,0.5,0.7191011235955056,-2.041666666666668,1.4656250000000004,0.7222222222222222,0.5,0.2653061224489796,0.8780487804878049
topk_enet_2,0.5771604938271605,0.37037037037037035,0.7592592592592593,-1.2724664963982188,0.20320742070942865,0.8820754716981132,0.5,0.7191011235955056,-2.1143750000000003,1.4666666666666677,0.8888888888888888,0.38888888888888884,0.26666666666666666,0.9333333333333332
topk_rf_1,0.5740740740740741,0.3765432098765432,0.7561728395061729,-0.9270424572903364,0.35390449066530516,0.8773584905660377,0.4799999999999999,0.7078651685393258,-2.1911549707602327,2.5000000000000027,0.7222222222222222,0.5,0.2653061224489796,0.8780487804878049
topk_enet_1,0.5401234567901234,0.3395061728395062,0.7283950617283951,-1.470549645852885,0.14141295016227193,0.8254716981132074,0.2599999999999997,0.5842696629213481,-3.2698863636363598,1.3725694444444438,0.9444444444444444,0.33333333333333337,0.26153846153846155,0.96
topk_l2_1,0.5370370370370371,0.3363425925925926,0.7253086419753086,-1.5339961446428543,0.1250306012541283,0.8207547169811321,0.24000000000000032,0.5730337078651686,-3.4999999999999996,1.3121279761904754,0.9444444444444444,0.33333333333333337,0.26153846153846155,0.96
apriori_AD8,0.43209876543209874,0.23757716049382716,0.6358024691358025,-1.9983680127841223,0.045676776862510635,0.660377358490566,-0.4400000000000001,0.191011235955056,-6.383413461538468,0.7348002633889376,0.2777777777777778,0.9444444444444444,0.5555555555555554,0.8395061728395061
covariates,0.37962962962962965,0.20679012345679013,0.5771604938271605,-2.3717588840057013,0.01770363950546646,0.5801886792452831,-0.7799999999999998,0.0,-6.929166666666668,0.49519230769230765,0.6111111111111112,0.5,0.23404255319148937,0.8372093023255814
core_available3,0.3549382716049383,0.1820216049382716,0.5432870370370366,-2.7206257956648536,0.0065158474909427656,0.5424528301886793,-0.9399999999999997,-0.0898876404494382,-9.484375,0.24851190476190477,1.0,0.05555555555555558,0.2093023255813954,1.0
