panel,auc,ci_lo,ci_hi,delong_z_vs_full,delong_p_vs_full,ratio_raw,ratio_excess,ratio_anchored,ratio_excess_lo,ratio_excess_hi,sens_youden,spec_youden,ppv_at_20pct,npv_at_20pct
topk_enet_100,0.6619047619047619,0.5079365079365079,0.8063492063492064,-1.57348603553242,0.11560631929539048,0.8948497854077252,0.6754966887417216,0.039215686274509644,0.06938131313131286,1.0666666666666664,0.8285714285714286,0.5,0.29292929292929293,0.9210526315789475
covariates,0.6587301587301587,0.5047222222222222,0.8047619047619048,-0.8762512263676291,0.38089347365210147,0.890557939914163,0.6622516556291389,0.0,0.01893887558444514,1.8342286501377407,0.4857142857142857,1.0,1.0,0.8860759493670886
topk_enet_20,0.6587301587301587,0.48095238095238096,0.8238095238095238,-1.3970829375982377,0.16238863207300314,0.890557939914163,0.6622516556291389,0.0,-0.1249999999999995,1.0921391752577316,0.9428571428571428,0.4444444444444444,0.2978936810431294,0.9688581314878892
topk_l2_10,0.6492063492063492,0.473015873015873,0.8159920634920629,-1.3042821410310694,0.19213740215119213,0.8776824034334764,0.6225165562913907,-0.11764705882352892,-0.20164235974247804,1.1819184491978612,0.9142857142857143,0.5,0.3137254901960784,0.9589041095890412
topk_enet_10,0.638095238095238,0.46027777777777773,0.8095238095238095,-1.5008684851154854,0.13338958083045452,0.8626609442060085,0.5761589403973507,-0.25490196078431404,-0.3131205673758864,1.0983168916580133,0.9142857142857143,0.5,0.3137254901960784,0.9589041095890412
biohermes7,0.6349206349206349,0.4745238095238095,0.785753968253968,-1.0023716144679513,0.3161641462971515,0.8583690987124463,0.562913907284768,-0.2941176470588237,-0.10804790557741266,1.7592592592592589,0.5142857142857142,0.8333333333333334,0.43548387096774194,0.8728179551122194
apriori_AD8,0.6063492063492063,0.4444444444444444,0.7524206349206347,-1.3882094604463973,0.16507327234960534,0.8197424892703862,0.44370860927152295,-0.6470588235294118,-0.2777105989287454,1.3581562436753698,0.5714285714285714,0.6666666666666667,0.30000000000000004,0.8615384615384615
topk_l2_5,0.5936507936507937,0.4063095238095238,0.7778174603174601,-1.9641531045269616,0.04951233932357403,0.8025751072961373,0.390728476821192,-0.8039215686274505,-0.7763888888888887,0.9454045048647209,0.9142857142857143,0.5,0.3137254901960784,0.9589041095890412
topk_rf_1,0.5928571428571429,0.4269444444444444,0.7587301587301587,-1.9096236509449187,0.0561816876849254,0.8015021459227467,0.38741721854304634,-0.8137254901960779,-0.49253987240829344,0.97714234363767,0.6857142857142857,0.5555555555555556,0.27835051546391754,0.8760951188986232
topk_rf_5,0.5904761904761905,0.4095238095238095,0.7682539682539683,-2.175688661431751,0.02957854860815286,0.798283261802575,0.37748344370860926,-0.84313725490196,-0.7568221447253705,0.917585649644473,0.8285714285714286,0.4444444444444444,0.2715920915712799,0.9120521172638437
topk_enet_5,0.5904761904761905,0.4031349206349206,0.7746031746031746,-2.0085491663016746,0.04458496691562308,0.798283261802575,0.37748344370860926,-0.84313725490196,-0.8126358695652174,0.9389907208483792,0.9142857142857143,0.5,0.3137254901960784,0.9589041095890412
topk_rf_2,0.5515873015873016,0.3761706349206349,0.734920634920635,-2.3320361822748623,0.019698787793437346,0.7457081545064378,0.21523178807947033,-1.3235294117647045,-1.0004098360655742,0.8421800947867297,0.7714285714285715,0.5,0.2783505154639176,0.8974358974358975
topk_rf_3,0.5507936507936508,0.36507936507936506,0.7397222222222221,-2.4504925920367193,0.014266089813992276,0.7446351931330473,0.21192052980132464,-1.333333333333332,-1.1482034273079043,0.8177979797979799,0.7714285714285715,0.5555555555555556,0.302615193026152,0.9067357512953368
topk_enet_3,0.526984126984127,0.32857142857142857,0.7270238095238093,-2.6200546123636106,0.008791568658022435,0.7124463519313304,0.11258278145695369,-1.6274509803921557,-1.5006249999999999,0.7485857795172864,0.8571428571428571,0.5,0.30000000000000004,0.9333333333333333
topk_l2_3,0.5253968253968254,0.326984126984127,0.7253968253968254,-2.6412114679817216,0.00826101386610933,0.7103004291845494,0.10596026490066232,-1.6470588235294106,-1.5125328947368422,0.742936507936508,0.8571428571428571,0.5,0.30000000000000004,0.9333333333333333
topk_l2_2,0.5206349206349207,0.3253968253968254,0.7128968253968243,-2.6829534212938624,0.00729751533519315,0.703862660944206,0.08609271523178823,-1.7058823529411749,-1.5197855750487321,0.7205250161917095,0.8285714285714286,0.5,0.29292929292929293,0.9210526315789475
topk_enet_2,0.5174603174603175,0.32222222222222224,0.7128174603174597,-2.719147763969237,0.00654503625166514,0.6995708154506438,0.07284768211920549,-1.7450980392156845,-1.5646994134897365,0.7158773822912549,0.8285714285714286,0.5,0.29292929292929293,0.9210526315789475
topk_l2_1,0.4650793650793651,0.2872222222222222,0.6587698412698411,-3.461955538965466,0.0005362657375345388,0.6287553648068669,-0.1456953642384105,-2.3921568627450966,-1.8445287792536362,0.517913652802893,0.8857142857142857,0.2777777777777778,0.23465096719932715,0.9067357512953367
topk_enet_1,0.4650793650793651,0.2873015873015873,0.6587698412698411,-3.4647724441925627,0.0005306803080034918,0.6287553648068669,-0.1456953642384105,-2.3921568627450966,-1.8259013282732433,0.519353764157228,0.8857142857142857,0.2777777777777778,0.23465096719932715,0.9067357512953367
core_available3,0.423015873015873,0.2539285714285714,0.5952777777777776,-2.499274956139336,0.012444771272637885,0.5718884120171673,-0.3211920529801324,-2.911764705882351,-1.3706637330399705,0.4447413061916874,0.8571428571428571,0.2777777777777778,0.2288135593220339,0.8860759493670887
